Company Name,Industry,Symbol,Series,ISIN Code,Percentage Change,Market Cap
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028,-0.7537701125437946,359988.1399065
Equitas Holdings Ltd.,Financial Services,EQUITAS,EQ,INE988K01017,-0.4549590473684084,364006.472475
Equitas Small Finance Bank Ltd.,Financial Services,EQUITASBNK,EQ,INE063P01018,1.2149561231381334,639786.131705
Eris Lifesciences Ltd.,Healthcare,ERIS,EQ,INE406M01024,-0.7345321305389674,936151.266739
Escorts Ltd.,Capital Goods,ESCORTS,EQ,INE042A01014,-1.547573179666406,2279850.259211
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020,-2.0457676911748046,1284350.0
FDC Ltd.,Healthcare,FDC,EQ,INE258B01022,-1.292928059895837,434010.725964
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029,-3.461024015578296,8010238.932458
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029,-4.1345095106672725,2048805.950406
Fertilisers and Chemicals Travancore Ltd.,Chemicals,FACT,EQ,INE188A01015,-3.0795538298809544,847017.213966
Fine Organic Industries Ltd.,Chemicals,FINEORG,EQ,INE686Y01026,-4.14099622061822,1228131.328644
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022,1.7731546656336583,577575.4363925
Finolex Industries Ltd.,Capital Goods,FINPIPE,EQ,INE183A01024,0.4636299353939277,959567.5335825
Firstsource Solutions Ltd.,Information Technology,FSL,EQ,INE684F01012,0.0,871587.0279130001
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013,-0.8674126602944865,2192398.461792
G R Infraprojects Ltd.,Construction,GRINFRA,EQ,INE201P01022,-2.942683955269243,1483064.379885
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019,-0.9293023253929557,6911459.6027125
GMM Pfaudler Ltd.,Capital Goods,GMMPFAUDLR,EQ,INE541A01023,0.2515813627159913,665907.52125
GMR Infrastructure Ltd.,Services,GMRINFRA,EQ,INE776C01039,-3.898048865187565,2230281.7791125
Galaxy Surfactants Ltd.,Chemicals,GALAXYSURF,EQ,INE600K01018,-1.3876040703052706,1015565.916288
Garware Technical Fibres Ltd.,Textiles,GARFIBRES,EQ,INE276A01018,-1.054063243794623,581793.1837575
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014,-1.7105236388089362,1997384.4
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023,0.0361895531364453,5377053.0642595
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,GLAXO,EQ,INE159A01016,-0.2402496375643936,2823829.180746
